"InputText","TaskName","TaskType","Difficulty","HasDeadline","Urgency","TimeExpression","DeadlineType"
"giua ky sinh hoc dai cuong mai thi ma chua hoc chu nao","Thi gk Sinh học","ThiGiuaKy","3","1","high","mai","relative"
"Tuần sau là thi giữa kỳ Lý thuyết mạch, mình tập trung giải lại các đề năm trước.","Thi gk LT mạch","ThiGiuaKy","4","1","medium","tuần sau","relative"
"thi gk r mà nhệ chưa ôn 🙃 toang","Thi giữa kỳ","ThiGiuaKy","3","1","high","","none"
"midterm marketing tuần này nhóm mình thuyết trình luôn","Midterm Marketing","ThiGiuaKy","3","1","medium","tuần này","relative"
"Cô vừa thông báo dời lịch thi giữa kỳ môn Kế toán tài chính sang thứ 2 tuần 11.","Thi gk KTTC","ThiGiuaKy","3","1","medium","thứ 2","weekday"
"thi giữa kì giải tích online trên LMS, 60 phút 40 câu trắc nghiệm","Thi gk Giải tích","ThiGiuaKy","3","1","high","","none"
"gk","gk","ThiGiuaKy","1","0","low","","none"
"chuẩn bị thi giữa kỳ Triết, ôn theo đề cương cô gửi nha cả lớp","Thi gk Triết","ThiGiuaKy","2","0","low","","none"
"thi giữa kỳ môn Mạng máy tính khó hơn mình tưởng, phần định tuyến rối quá","Thi gk Mạng","ThiGiuaKy","4","0","medium","","none"
"mai thi gk hđh oi 😵 phan dong bo tien trinh","Thi gk HĐH","ThiGiuaKy","5","1","high","mai","relative"
"Sáng thứ 5 thi giữa kỳ Xác suất thống kê tại phòng A201, nhớ mang máy tính bỏ túi.","Thi gk XSTK","ThiGiuaKy","3","1","high","thứ 5","weekday"
"thi giua ky tieng anh 2 reading nhieu qua","Thi gk Tiếng Anh 2","ThiGiuaKy","3","0","medium","","none"
"giữa kỳ tới nơi rồi ôn không kịp nữa huhu 😭","Thi giữa kỳ","ThiGiuaKy","3","1","high","","none"
"thi gk vật lý 1 tuần sau, thầy gợi ý ôn chương động học với động lực học","Thi gk Vật lý 1","ThiGiuaKy","4","1","medium","tuần sau","relative"
"kiểm tra giữa kỳ môn Toán rời rạc, trọng tâm phần đồ thị với quan hệ","Ktra gk Toán rời rạc","ThiGiuaKy","4","0","medium","","none"
"thi giữa kỳ KTCT t2 tuần sau, học thuộc mấy quy luật giá trị mệt á","Thi gk KTCT","ThiGiuaKy","3","1","medium","thứ 2","weekday"
"mai gk lập trình c, ôn lại con trỏ với mảng đi mng","Thi gk Lập trình C","ThiGiuaKy","4","1","high","mai","relative"
"Đồ án cuối kỳ môn Công nghệ phần mềm bảo vệ vào tuần 16, nhóm mình làm web bán hàng.","Đồ án cuối kỳ CNPM","DoAnCuoiKy","4","1","high","tuần 16","relative"
"đồ án cuối kỳ AI nhóm chọn đề nhận diện biển số xe, deadline cn này 😤","Đồ án cuối kỳ AI","DoAnCuoiKy","5","1","high","chủ nhật","weekday"
"btl mạng máy tính nộp cuối kỳ ai chưa làm phần mô phỏng packet tracer ko","BTL Mạng","DoAnCuoiKy","4","1","medium","cuối kỳ","relative"
"nộp đồ án cuối kỳ môn CSDL trễ là rớt môn đó nha mng 😰","Đồ án cuối kỳ CSDL","DoAnCuoiKy","4","1","high","","submission"
"do an cuoi ky lap trinh web con phan backend chua xong","Đồ án cuối kỳ web","DoAnCuoiKy","4","1","medium","","none"
"final project môn Trí tuệ nhân tạo, team mình train model gần xong rồi 🔥","Final project AI","DoAnCuoiKy","5","1","medium","","none"
"đồ án ơi là đồ án 🥲","Đồ án","DoAnCuoiKy","3","0","low","","none"
"Báo cáo đồ án cuối kỳ môn Hệ thống thông tin phải nộp bản in trước thứ 6.","Báo cáo đồ án HTTT","DoAnCuoiKy","3","1","high","thứ 6","weekday"
"btl ml mai bảo vệ mà notebook còn lỗi tùm lum 😭","BTL Machine Learning","DoAnCuoiKy","5","1","high","mai","relative"
"đồ án tốt nghiệp à nhầm đồ án môn cuối kỳ deadline tuần sau","Đồ án cuối kỳ","DoAnCuoiKy","4","1","high","tuần sau","relative"
"project cuối kỳ môn Lập trình mobile, app gần hoàn thiện rồi còn phần test","Project cuối kỳ mobile","DoAnCuoiKy","4","1","medium","","none"
"nhóm mình bảo vệ đồ án cuối kỳ Kỹ thuật phần mềm chiều thứ 4 nha","Đồ án cuối kỳ KTPM","DoAnCuoiKy","4","1","high","thứ 4","weekday"
"do an cuoi ky","Đồ án cuối kỳ","DoAnCuoiKy","3","0","low","","none"
"đồ án môn Phát triển web cuối kỳ chia 4 đứa mỗi đứa 1 module","Đồ án web cuối kỳ","DoAnCuoiKy","3","0","medium","","none"
"btl xử lý ảnh nộp cuối kỳ, còn viết báo cáo nữa là xong","BTL Xử lý ảnh","DoAnCuoiKy","4","1","medium","cuối kỳ","relative"
"final project mạng nộp 23h59 cn đừng quên push code lên git nha team","Final project Mạng","DoAnCuoiKy","4","1","high","chủ nhật","submission"
"đồ án cuối kỳ căng vl deadline dí sát quá 😩🔥","Đồ án cuối kỳ","DoAnCuoiKy","5","1","high","","none"
"Đồ án cuối kỳ môn Phân tích thiết kế hệ thống, nhóm mình vẽ xong sơ đồ use case.","Đồ án cuối kỳ PTTKHT","DoAnCuoiKy","3","0","medium","","none"
"btl cuối kỳ marketing thuyết trình tuần 15, slide chưa làm gì hết","BTL Marketing","DoAnCuoiKy","3","1","medium","tuần 15","relative"
"đồ án cuối kỳ IoT, phần phần cứng demo trực tiếp trên kit","Đồ án cuối kỳ IoT","DoAnCuoiKy","5","0","medium","","none"
"do an cuoi ky cnpm mai deadline ma team mat tich het r 😭","Đồ án cuối kỳ CNPM","DoAnCuoiKy","5","1","high","mai","relative"
"project cuối kỳ môn Đồ họa máy tính render cảnh 3D, nặng máy quá trời","Project cuối kỳ ĐHMT","DoAnCuoiKy","4","0","medium","","none"
"nộp đồ án cuối kì an toàn mạng, chủ đề tấn công SQL injection","Đồ án cuối kỳ ATM","DoAnCuoiKy","4","1","medium","","submission"
"đồ án cuối kỳ â nhóm 6 hợp tác xíu đi mn cận deadline r","Đồ án cuối kỳ","DoAnCuoiKy","4","1","high","","none"
"btl giải tích nộp cuối kỳ, mỗi người giải 5 bài rồi gộp lại","BTL Giải tích","DoAnCuoiKy","3","1","low","cuối kỳ","relative"
"đồ án cuối kỳ data science, clean data xong mà model accuracy thấp quá 🥲","Đồ án cuối kỳ DS","DoAnCuoiKy","5","0","medium","","none"
"final đồ án môn nhúng cuối kỳ, code lên vi điều khiển bị lỗi hoài","Đồ án cuối kỳ nhúng","DoAnCuoiKy","5","1","medium","","none"
"đồ án cuối kỳ web nộp source với báo cáo trước 17h thứ 6 nha","Đồ án cuối kỳ web","DoAnCuoiKy","3","1","high","thứ 6","weekday"
"đồ án cuối kỳ môn Kế toán máy, làm trên phần mềm Misa","Đồ án cuối kỳ Kế toán máy","DoAnCuoiKy","3","0","low","","none"
"Thi cuối kỳ môn Công nghệ phần mềm thi viết tại phòng B4, không được mang tài liệu.","Thi cuối kỳ CNPM","ThiCuoiKy","4","1","high","","none"
"đồ án cuối kỳ môn Công nghệ phần mềm bảo vệ tuần 16 nha team","Đồ án cuối kỳ CNPM","DoAnCuoiKy","4","1","high","tuần 16","relative"
"lịch thi cuối kỳ ra rồi, mình thi 5 môn trong 1 tuần luôn 😵","Thi cuối kỳ","ThiCuoiKy","4","1","high","","none"
"nộp đồ án cuối kỳ rồi mới được thi cuối kỳ á","Đồ án cuối kỳ","DoAnCuoiKy","3","1","medium","","submission"
"final exam CSDL tuần sau, ôn truy vấn lồng với chuẩn hóa","Thi cuối kỳ CSDL","ThiCuoiKy","4","1","high","tuần sau","relative"
"final project CSDL deadline tuần sau, thiết kế xong database rồi","Đồ án cuối kỳ CSDL","DoAnCuoiKy","4","1","medium","tuần sau","relative"
"thi cuối kỳ giải tích 2 sáng thứ 7 phòng A305","Thi cuối kỳ Giải tích 2","ThiCuoiKy","4","1","high","thứ 7","weekday"
"btl giải tích 2 nộp cuối kỳ, in báo cáo nộp cho lớp trưởng","BTL Giải tích 2","DoAnCuoiKy","3","1","medium","cuối kỳ","relative"
"kiểm tra 15 phút đầu giờ môn Hóa mai nha, học bài cũ đi","Ktra 15 phút Hóa","KiemTraThuongXuyen","2","1","medium","mai","relative"
"thi cuối kỳ triết t3 tuần sau, học thuộc gần chết 😭","Thi cuối kỳ Triết","ThiCuoiKy","3","1","high","thứ 3","weekday"
"đồ án cuối kỳ triết à nhầm tiểu luận cuối kỳ triết nộp tuần sau","Tiểu luận cuối kỳ Triết","DoAnCuoiKy","2","1","medium","tuần sau","relative"
"ktra thường xuyên môn mạng tuần này, làm trên giấy 30 phút","Ktra thường xuyên Mạng","KiemTraThuongXuyen","2","1","medium","tuần này","relative"
"thi cuối kỳ môn Vật lý 2, đề 5 bài tự luận khó nhằn","Thi cuối kỳ Vật lý 2","ThiCuoiKy","5","0","medium","","none"
"đồ án cuối kỳ vật lý à không có đâu, môn này chỉ thi cuối kỳ thôi","Thi cuối kỳ Vật lý","ThiCuoiKy","4","0","low","","none"
"làm bài tập về nhà chương 3 giải tích nộp mai","Bài tập về nhà Giải tích","BaiTap","2","1","medium","mai","relative"
"đồ án cuối kỳ lập trình web nộp source code lên github trước cn","Đồ án cuối kỳ web","DoAnCuoiKy","4","1","high","chủ nhật","submission"
"ôn thi cuối kỳ môn Mạng máy tính, tổng hợp lại 7 chương","Ôn thi cuối kỳ Mạng","ThiCuoiKy","4","0","medium","","none"
