"VanBanGoc","TenTask","LoaiTask","DoKho"
"cuối tuần tao qua nhà m review lại bài nhe","Review lại bài","Khac","3"
"h rảnh k call tao chỉ cho cách giải bài hqua","Giải bài hôm qua","Khac","3"
"phai doc lai tai lieu chu quen sach roi","Đọc lại tài liệu","Khac","3"
"ai tóm tắt dùm t cái mindmap sinh học với","Mindmap sinh học","Khac","3"
"on tap sml tu sang toi gio chua an j","Ôn tập","Khac","3"
"tối nay cày nốt 3 đề toán là đi ngủ 😪","Cày đề ton","Khac","3"
"đề cương triết học tận 20 trang wtf","Ôn đề cương triết","Khac","3"
"này tao gửi file review exam ae tham khảo nha","Review exam","Khac","3"
"thứ 7 ở nhà ôn thi nha m ko đi chơi đâu","Ôn thi ở nhà","ThiCuoiKy","3"
"nhwos nosi thaafy vu kiem tra","Hỏi thầy kiểm tra","Khac","3"
"thấy bảo tuần sau thầy ktra vở đấy","Kiểm tra vở","KiemTraThuongXuyen","3"
"nhớ nhắc t nộp tiền quỹ lớp trc t6 nha","Nộp quỹ lớp","NhacNho","3"
"chieu nay hoc bu tren giang duong a mn nho nhe","Học bù buổi chiều","Khac","3"
"mai nghỉ nha cô ốm r 🥳","Nghỉ học","Khac","3"
"alo ai đi lấy áo lớp vs t ko","Lấy o lớp","Khac","3"
"mai mang sach bai tap di dung quen do nha","Mang sch bài tập","Khac","3"
"remind ae mai nộp form đk môn tự chọn nhé","Nộp form đăng ký","OnTap","3"
"đừng quên mang lap đi học nha","Mang laptop","Khac","3"
"thay bao la ko dc xai tai lieu nha","Không xài tài liệu","Khac","3"
"ủa alo thứ 3 có tiết k m","Xem thời khóa biểu","Khac","3"
"Ê chiều nay đi đá bóng nha","Đ bóng","Khac","3"
"tối ra net đánh 2 trận lol ko m","Chơi game net","Khac","3"
"nay t mệt quá cúp cua 1 bữa nha","Cúp cua nghỉ học","Khac","3"
"trua an gi m t dki com tam nhe","Ăn trưa cơm tấm","Khac","3"
"dm ktx cúp điện r nóng vãi","Ký túc x cúp điện","KiemTraThuongXuyen","3"
"mày có link discord của lớp ko gửi t xin","Link discord lớp","Khac","3"
"mai m chở tao đi hc đc ko xe tao hư r","Đi nhờ xe","Khac","3"
"cuoi tuan nay hoi truong co event j a","Event hội trường","Khac","3"
"đm ông thầy nay nói cái qq j ko hiểu lun","Nghe thầy giảng","OnTap","3"
"cuối tuần này chả muốn lết xác ra khỏi giường mà ông thầy bắt nộp báo cáo 😢","Nộp bo co","DuAn","3"
"cái hw nay ảo ma canada quá giải nãy h đ ra","Giải homework","Khac","3"
"lamf bsai tapj hoas chua m","Bài tập hóa","Khac","3"
"mai deadline roi mak t vẫn đag luớt toptop nè haiz","Chạy deadline","Khac","3"
"tới công chiện gòi cô bắt viết tay 5 trang","Viết tay 5 trang","OnTap","3"
"vừa thất tình vừa phải làm đống bài tập giải tích 💔","Bài tập giải tích","BaiTap","3"
"nay làm bài tập dc có 5 điểm trầm cảm cmnl","Bài tập","BaiTap","3"
"deadline dí sát đít r mà vẫn lười vl =))","Chạy deadline","Khac","3"
"có pro nào thông não giúp t cái đề này ko","Giải đề","OnTap","3"
"assignment chua lo xong ma con bao đi nhậu","Làm assignment","BaiTap","3"
"chiu nay test vl tao sợ rớt môn","Test vật lý","OnTap","5"
"thu tu co bai kiem tra giua ky mon xac suat do nha","Giữa kỳ xc suất","Khac","3"
"thằng nào có đề test năm ngoái share tao với","Đề test năm ngoi","Khac","3"
"test online hay offline vay m","Hỏi hình thức test","Khac","3"
"hôm bữa cô dặn ôn bài gì để ktra v tụi m","Ôn bài kiểm tra","KiemTraThuongXuyen","3"
"tí tao bùng tiết nha ktra m nhắc t","Trốn tiết kiểm tra","KiemTraThuongXuyen","3"
"bai ktra hs2 mak de vkl tao 10 d r mn oi","Kiểm tra hệ số 2","KiemTraThuongXuyen","3"
"thay cho quiz tren lms a mn vào lm lẹ 5p nữa đóng","Quiz trên lms","KiemTraThuongXuyen","3"
"lsmf baif test chuwa day bro","Bài test","Khac","3"
"móa nó ktra 1 tiết mà cho mẹ 4 câu tự luận siêu khó","Kiểm tra 1 tiết","KiemTraThuongXuyen","5"
"tâm linh mách bảo mai thi vào câu 3","Thi cuối kỳ","ThiCuoiKy","3"
"đụ má rớt môn chắc luôm r thi gì khó như quỷ","Thi cuối kỳ","ThiCuoiKy","5"
"nay tao di thi mak mang sai but chì 2b đcm đen","Đi thi","ThiCuoiKy","3"
"lịch thi final của tao là nguyên tuần sau full đét","Lịch thi final","ThiCuoiKy","3"
"thi off t sợ vãi t thèm thi onl","Thi offline","ThiCuoiKy","3"
"m thi chung phòng 402 vs t pk","Thi phòng 402","ThiCuoiKy","3"
"mai thi djt cuj no mak d dau dam ngu","Thi ngày mai","ThiCuoiKy","3"
"xong môn này ăn nhậu xõa nha ae","Thi xong môn","ThiCuoiKy","3"
"ê thi dc mang máy tính casio zo ko m","Quy định phòng thi","ThiCuoiKy","3"
"dm thi vấn đáp t run như cầy sấy 🥶","Thi vấn đp","ThiCuoiKy","3"
"project team mình hqua review bị thầy chê quá tr 🥲","Review project","DuAn","3"
"ai rảnh vô docs edit lại giùm t mấy chỗ typo đi","Edit tài liệu docs","Khac","3"
"tuan sau present ma team ch ai lam gi la sao tui m","Thuyết trình nhóm","Khac","3"
"sếp bảo mai nộp plan cho project mới á ae","Nộp plan project","DuAn","3"
"tao lo phần design ui ux nha","Design ui ux","Khac","3"
"code chay dc roi ma deploy bi loi wtf","Deploy code","Khac","3"
"m làm ơn phản hồi tin nhắn group nha thg lol","Nhắn tin nhóm","Khac","3"
"thầy review bảo ý tưởng sáo rỗng ae nghĩ lại idea nhe","Brainstorm idea","Khac","3"
"chot kịch bản quay film vao toi thu 5 nhe","Chốt kịch bản","Khac","3"
"đồ án mn tự thân vận động nha t ốm k gánh dc r","Đồ n môn học","DuAn","3"
"cứu bé bài toán này với 🆘","Giải bài ton","Khac","3"
"tao ôn nãy h mờ cả mắt rồi ae ơi","Ôn bài tập","OnTap","3"
"dm học thuộc lòng 20 trang tết mới xong","Học thuộc lòng","Khac","3"
"mai m rảnh ko qua starbuck học chung đi","Học nhóm","Khac","3"
"có đứa nào có bí kíp qua môn ko share tớ xin","Bí kíp qua môn","OnTap","3"
"chiều ni đi thư viện cày đề nha m","Cày đề thư viện","Khac","3"
"học trc quên sau não cá vàng vl","Ôn tập bài","Khac","3"
"nay phai doc xong chuong 4 mai con hoc tiep chuong 5","Đọc chương 4","Khac","3"
"gấp sách lại và đi ngủ mai xem típ z","Ôn tập bài","Khac","5"
"ai rảnh call dọa dò bài t dc k m xao nhãng quá","Dò bài cũ","Khac","3"
"nho mua cho tao to xoi trc khi vao lop nhe","Mua đồ ăn sng","Khac","3"
"ae nộp đt lên bàn gvien nha","Nộp điện thoại","Khac","3"
"đóng tiền học phí hnay là hạn cuối nha ae","Ng học phí","Khac","3"
"thông báo dời lịch học bù sang sáng t7 nha","Lịch học bù","OnTap","3"
"nhớ mang giẻ lau bảng nha m","Mang giẻ lau","NhacNho","3"
"mang cccd di chup ki yeu nhe mn","Mang cccd","Khac","3"
"mai đi học mặc áo đoàn nha m","Mặc o đoàn","Khac","3"
"nho gui link gg meet vao nhom nhe","Gửi link meet","Khac","3"
"đừng quen lm khao sat cua khoa nha mk","Làm khảo st khoa","Khac","3"
"mng nhớ vote cho clb mik nhe","Vote cho clb","NhacNho","3"
"sáng mai ai rảnh cafe bệt k","Cafe buổi sng","Khac","3"
"tối tao k onl đâu đi chơi vs bồ r 😚","Đi chơi","Khac","3"
"co cho xe k tao wa ru ruoc roi di hoc chung","Đi nhờ xe","Khac","3"
"đm nhỏ kia nay mặc đồ xinh vl ae ạ","Chuyện phiếm","Khac","3"
"mượn 200k mai trả dc ko đg kẹt qá","Mượn tiền","Khac","3"
"hôm nay trg có ca nhạc j sập xình quá","Sự kiện trường","Khac","3"
"thang l nay ban hoai rep ib cham vl","Trch bạn","Khac","3"
"cho t xin in4 bạn nữ áo hồng ban nãy","Xin info","Khac","3"
"thẻ sv t rớt ở căn tin h ra méo thấy","Rớt thẻ sinh viên","Khac","5"
"tốn bao tiền vào cf học m k vào đc chữ nào","Đi cafe học","Khac","3"
"nay t nộp essay xong ăn mừng tưng bừng ln mn ơi","Nộp essay","Khac","3"
"đề cwong kho vãi lồn thầy gjan ác vc","Đề cương bài tập","Khac","3"
"mai deadline mà mik còn coi phim hàn nữa chứ","Chạy deadline","Khac","3"
"có pro code frontend nào giúp t pass bài này khum 😭","Code frontend","Khac","3"
"mng lam exercise 4 tren moodle ch","Exercise trên moodle","Khac","3"
"baof tbap nay de~ mak ae ko lam dc a","Bài tập dễ","Khac","3"
"hqa làm bài ko save nay phải gõ lại cay","Làm lại bài","Khac","3"
"chuẩn bị nộp hw 2 mng nhớ ktra lại đạo văn nha","Nộp homework 2","KiemTraThuongXuyen","3"
"mai kiểm tra roi mak t chua kip in de nua m co du de ko","Kiểm tra ngày mai","KiemTraThuongXuyen","3"
"bai nay ra trong quiz hqua roi tuc ghe t ko hoc","Câu hỏi trong quiz","KiemTraThuongXuyen","3"
"cô nói mai test 15p nhg hnay cô ốm z mai nghỉ hay vẫn test onl","Test 15p ngày mai","Khac","3"
"huhu điểm test 1 thấp quá mk phải cố kéo lại","Điểm test thấp","Khac","3"
"thu 6 ktra speaking 1-1 t xo qus m oi","Kiểm tra speaking","KiemTraThuongXuyen","3"
"toang roi tk tao chua dk mon thi dcm","Đăng ký thi","ThiCuoiKy","5"
"dm mai thi mac thay mo t run wa","Thi mc","ThiCuoiKy","3"
"lịch thi final của khoa m ra chưa","Lịch thi khoa","ThiCuoiKy","3"
"đợt này final chắc toàn trắc nghiệm th chứ tự luận t đứt","Thi trắc nghiệm","ThiCuoiKy","3"
"mô phật cho con thi qua môn này 10d k cần thiết","Thi qua môn","ThiCuoiKy","3"
"chot pj nha ae m lam word con lai t lam ppt","Chốt project","Khac","3"
"mng oi phan t lam t gui link drive r dzo ktra xem ok chua","Kiểm tra phần project","KiemTraThuongXuyen","3"
"tuần này team đi thực địa chụp ảnh lmm phóng sự nha","Đi thực địa","Khac","3"
"đóng máy đ ngủ mai làm đồ án tiếp đuối qá r","Làm đồ n","DuAn","3"
"nhóm bạn hùng hqua present dc cô khen qá chừng mik p cố lên","Thuyết trình nhóm","Khac","3"
"cuoi tuan cf on bai nhe t bi out trinh mon nay r","Cafe ôn bài","Khac","3"
"t ôn môn này dc 1 tiếng mà não load k nổi lun á đừ vãi","Ôn bài","OnTap","3"
"có đứa nào note bài đầy đủ ko cho tớ xin vs","Xin note bài","Khac","3"
"học onl nãy h buồn ngủ vãi chắc t bỏ môn này quá","Học online","OnTap","3"
"tổng kết lại chương 1 có ai ch hiểu khúc nào ko","Tổng kết chương 1","Khac","3"
"nhắc mng mai đi học đúng h thầy khó lắm khóa cửa đ cho vô","Đi học đúng giờ","Khac","5"
"quên mk wifi truong mng cho t xin lai","Xin mật khẩu wifi","Khac","3"
"nhớ up file lên thư mục share trc 12h đêm nha","Upload file","NhacNho","3"
"dặn dò nhẹ nhàng mai mặc áo thun trắng đi thực hành nha","Mặc o trắng","Khac","2"
"nhớ đem sạc theo lap top tao hết pin rồi","Mang sạc laptop","Khac","3"
"ai thay chiec chia khoa xe may t rớt đâu đ ko cứu tao vs","Rớt chìa khóa","Khac","5"
"đang bận vcl tụi m đi nhậu ko gọi 😡","Đang bận","Khac","3"
"thèm trà sữa quá ai bao k t kẹt tiền 🥹","Thèm trà sữa","Khac","3"
"thang nao an cap xe dap nha t ma k tra the dcm","Mất xe đạp","Khac","3"
"sáng nay căng tin hết mịe bánh bao ăn mì tôm nản vc","Hết đồ ăn","Khac","3"
"ông dáo dạy chán vl tao ngủ gật 2 lần r","Thầy gio dạy chn","OnTap","3"
"muộn 5p gvien đ đuổi nhg 6p là ổng bắt dọn vsinh m cân nhắc","Đi học trễ","Khac","3"
"nay t nghỉ phép nha bệnh ốm dặt dẹo r","Xin nghỉ phép","Khac","3"
"mới bị ny cắm sừng đ học hành mẹ j nx đi nhậu dzooo","Thất tình đi nhậu","Khac","3"
"alo ai biet nha xe d de o khu vuc nao ko m","Khu vực nhà xe","Khac","3"
"cai lz j the nay bug d fix dc đập máy luôn 🤬","Sửa bug","OnTap","3"
"bai assignment này ko nộp kịp chac ddc đi chăn bò","Làm assignment","BaiTap","3"
"tự nhiên cô cho bài bouns t mừng gớt nc mắt","Bài tập bonus","Khac","3"
"m làm hw môn dluật ch gửi m xem tham khảo m chả bít lm j","Homework luật","OnTap","3"
"mai lsmf bsai tấp á tao chua xem đề luon mak","Bài tập ngày mai","Khac","3"
"chưa bao h t thấy bài test trên lớp nhàn ntn haha","Bài test trên lớp","Khac","3"
"bai ktra cua mng nay ok k mk làm sai cmn câu cúi huhu","Kiểm tra hôm nay","KiemTraThuongXuyen","3"
"test anh văn bà cô gác gắt quá t d copy đc con me j","Test anh văn","Khac","3"
"đc 10đ bài kiểmtra tk nhỏ mừng húm mn ạ 😍","Điểm 10 kiểm tra","Khac","3"
"t d m m thj cck ak s ch hoc j m ranh the","Thi cuối kỳ","ThiCuoiKy","3"
"thi final mà t ngồi gãi đít từ đầu h tới cúi h","Thi final","ThiCuoiKy","3"
"đề thi này đ dnhf cho học sinh con người má ác dã man","Đề thi cuối kỳ","ThiCuoiKy","3"
"tao mớ dc cho pass đề thi m lấy ko 🤫","Pass đề thi","ThiCuoiKy","3"
"ôn thi ccc mai ra cf chơi r tối về cày đêm lun m","Ôn thi cuối kỳ","ThiCuoiKy","3"
"cái pj này t muốn đập đi xây lại mệt mỏi qá r ae","Làm project","Khac","3"
"chiều t3 họp group tóm tắt slide nha đ đi phạt 50k","Họp nhóm slide","Khac","3"
"nhóm 2 chả làm gì mà dcm chấm cao hơn team mk d cay","Điểm project","Khac","3"
"edit lmj cho dài cô bẻ bắt bẻ mệt m just make it simple","Edit bài project","Khac","4"
"kịch bản video pj môn xã hội mk ntn mn có ý kiến j hum","Kịch bản video","OnTap","3"
"ae thg onl luc may h dể hoc bai chung z","Học bài chung","Khac","3"
"mẹ nó bài học nhìu dã man t ngán tận cổ r 🤢","Học bài qu nhiều","Khac","3"
"có pro nào tổng hợp công thức vật lí đại cương phần quang hq chưa","Công thức vật lý","OnTap","3"
"tao k biết tsao tao ngu môn toán thế review lại vẫn ngu","Ôn môn ton","OnTap","3"
"cú t vs đng ôn bài khu trọ ngta hts kake um sùm đ nhét zo não nổi","Ôn bài khu trọ","OnTap","3"
"remind ai ch dki môn thì dki lẹ hệ thống cb sập r","Đăng ký môn học","OnTap","3"
"nhac ae la hom nay den h nop the do nha d quen d","Nộp thẻ sinh viên","Khac","3"
"khi đi nhớ tắt điện tắt quạt phg học mk ơi","Tắt điện phòng học","OnTap","3"
"ai dk tham gia seminar thi đk vs lp trg nha mng","Tham gia seminar","ThiCuoiKy","3"
"ae luu ý nay cô gác thi siêu siêu khó lmj nhớ cẩn thận","Lưu ý gc thi","ThiCuoiKy","5"
"bùn vl tự nhiến nay xe hư k đi dẩy d vs mng dc r","Xe hư","Khac","3"
"nhờ m mua tao ly cfe đen ko đg tao trả trc 50k hsau bù nha","Mua cà phê","Khac","3"
"chán d muốn học nữ m muốn bỏ hc vl","Chn học","Khac","3"
"trốn về trc ko ae chứ ngồi đít đau cmnr","Trốn học sớm","Khac","3"
"t đang nợ môn sml r m tính đi du lịch sao d dm","Nợ môn","OnTap","3"
"đi vệ sinh d có giấy cayyy d chịu dc ở dơ vcl trg","Nhà vệ sinh trường","Khac","3"
"lâu lắm mới dc đi bộ vòng trg mỏi cẳng qá mk ơi","Đi dạo trường","Khac","3"
"lập trình 1 là con môn quỷ dị đm nó cướp t 3 tr","Môn lập trình","OnTap","3"
"ko biết bao h mới giàu k p cắm mặt làm mấy cái test khỉ hó này nx","Than vãn làm test","Khac","3"
"nay lm bt vui vẻ vl d bị lỗi hnao 😍","Bài tập vui vẻ","BaiTap","3"
"dcm deadline lúc 12h trưa chứ k p 12h đêm toang cmnr 😭","Chạy deadline gấp","Khac","5"
"mày nộp bài chưa tao copy past nha lẹ lẹ ông kia check h","Copy bài nộp","OnTap","3"
"hqa đ có tgian lm bài lun đi lm thêm mệt quá dcm","Thời gian làm bài","Khac","3"
"t bt cach giai btoan nay roi de tao chi cho m hehe","Chỉ bài ton","BaiTap","3"
"nay cô cho test thu mà tao dc co 2d vcl","Test thử","Khac","3"
"sổ điểm danh dâu đưa t kí nốt nay có quiz đấy","Ký sổ điểm danh","KiemTraThuongXuyen","3"
"15p hay 45p v m sao tao nghe dua bao vay dua bao kia d hiểu j","Hỏi giờ kiểm tra","Khac","3"
"mk d lm kịp bài ktra m ơi h cô d cho nộp gòi s jo","Không nộp kịp bài","KiemTraThuongXuyen","3"
"toang r mai ktra r m tao di uong tsua d quan tam nx","Kiểm tra ngày mai","KiemTraThuongXuyen","5"
"tuần thi củ chuối này t thức tới 3h sag liên tục 2 ngày r mắt thâm quần ln","Thi cuối kỳ","ThiCuoiKy","3"
"mai mang thẻ sv đi ms dc vô phg thi nha tml tao nhắc r đấy","Mang thẻ sinh viên","ThiCuoiKy","3"
"mai thivđ mak m đ học m định cạp cứt à đm tk điên","Thi vấn đp","ThiCuoiKy","3"
"nay t dọn đồ về quê nha ae thi xong r xả stress thoyy","Thi xong về quê","ThiCuoiKy","3"
"có leak đề k ae xin leak đề t biêt tao ôm phật","Xin leak đề","ThiCuoiKy","3"
"sao code tao cứ error hoài thế này bưc vl ai team vô coi chung đi","Fix bug project","Khac","3"
"làm nốt cái slide nay đi mk mai r đi coi phim d thư gian j hệt","Làm slide thuyết trình","Khac","3"
"t thấy idea của thg a k khả thi cho prj mk đổi đề tài đ k","Đổi đề tài project","ThiCuoiKy","3"
"mai deadline d roi con ru tao di choi dkmm thg kia","Deadline project","Khac","3"
"mk chia tien in an pj ntn ae","Chia tiền in ấn","Khac","3"
"nay t bị nhức đầu qá d ôn vô nhung m nhớ dặn thầy gửi rec cho t nha","Học lại record","OnTap","3"
"đề cwong d j dài như sớ táo quân z chài ui","Đề cương qu dài","Khac","4"
"ai ranh call t t review ctruc cho","Call ôn tập","Khac","3"
"mai có buồi recap môn cơ sở dữ liệu á đi k m","Đi recap môn","OnTap","3"
"tao quên đem mẹ vở ôn rồi làm s học m cho t ngó xíu nha","Quên vở ôn","OnTap","3"
"nhắc mng d quên nộp 200k lệ phí thi t anh trc ngày 15/4 nghen","Ng lệ phí thi","ThiCuoiKy","3"
"ai hq nhầm áo khoác của t thì đem lên thư viện t lấy nha dcm lạnh qá","Lấy lại o khoc","Khac","3"
"hợp khoa 14h chiều mai mng ăn mặc lịch sự nha","Họp khoa","Khac","3"
"mng đ qên hnay p rep mail của sếp nhé","Rep email","Khac","3"
"đừg đê sếp nhắc nữa ae tóm tắt file lẹ","Tóm tắt file","Khac","3"
"Thứ 6 tuần sau kiểm tra 1 tiết Lý nha, khá khó.","Kiểm tra lý","KiemTraThuongXuyen","5"
"Tối nay nộp btl rồi, ai giúp mình với.","Bài tập lớn","BaiTap","3"
"Chị ơi, em chưa hiểu bài này.","Bài tập","Khac","3"
"chj ơi e k hiểu bài quiz tuần này 😐","Bài quiz","KiemTraThuongXuyen","3"
"ai giúp bài project với 😐","Bài project","DuAn","3"
"Tối nay ăn gì mày?","Tối nay ăn gì","Khac","3"
"Thầy dạy chán quá","Thầy dạy chn qu","Khac","3"
"Deadline bài essay là mai rồi, mà mình vẫn chưa viết xong 😓","Bài essay","Khac","3"
"nhóm mình làm prezentasion đến đâu rồi?","Bài trình bày","Khac","3"
"chị ơi e nộp report 20/10 đc k?","Bài report","Khac","3"
"bài này khó quá 😐","Bài tập","Khac","5"
"help coding với 😐","Bài coding","Khac","3"
"discusion forum tuần này làm gì v ạ?","Bài thảo luận","Khac","3"
"chưa làm hw 😐","Bài homework","Khac","3"
"help bài này với 😐","Bài tập","Khac","3"
"nhóm mình làm xong chưa 😐","Bài nhóm","Khac","3"
"coding khó quá 😐","Bài coding","Khac","5"
"chị ơi e cần help 😅","Bài tập","Khac","3"
"ai giúp e với 😐","Bài tập","Khac","3"
"bài này làm gì vậy ạ?","Bài tập","Khac","3"
"deadline là khi nào vậy?","Bài tập","Khac","3"
"e chưa làm xong 😐","Bài tập","Khac","3"
"help me 😐","Bài tập","Khac","3"
"chị ơi e nộp bài muộn đc k?","Bài tập","Khac","3"
"Tối nay đi chơi không?","Tối nay đi ch","OnTap","3"
"Thứ 6 tuần sau kiểm tra 1 tiết Hóa nha, khá dễ.","Kiểm tra hóa","KiemTraThuongXuyen","2"
"Chị ơi, em chưa hiểu bài này, giúp em với.","Bài tập","Khac","3"
"Thứ 6 tuần sau kiểm tra 1 tiết Sinh nha, khá khó.","Kiểm tra sinh","KiemTraThuongXuyen","5"
"Thứ 6 tuần sau kiểm tra 1 tiết Toán nha, khá dễ.","Kiểm tra ton","KiemTraThuongXuyen","2"
"Thứ 6 tuần sau kiểm tra 1 tiết Anh nha, khá khó.","Kiểm tra anh","KiemTraThuongXuyen","5"
"Tuần này có bài kiểm tra môn Lý, mình đang ôn lại nội dung chính.","Kiểm tra lý","KiemTraThuongXuyen","3"
"Deadline bài tập lớn môn Giải tích sắp tới, mình đang hoàn thiện phần cuối.","Bài tập lớn giải tích","ThiCuoiKy","3"
"Thi cuối kỳ môn Lập trình C đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ lập trình","ThiCuoiKy","3"
"Mình cần nộp báo cáo môn Vật lý thí nghiệm trước hạn, hiện đang hoàn thiện số liệu.","Bo co vật lý thí","ThiCuoiKy","3"
"Chiều mai kiểm tra Hóa đại cương, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra hóa đại cương","KiemTraThuongXuyen","3"
"Mình phải nộp bài tập lớn Mạng máy tính trong tuần này, ai rảnh review giúp mình không?","Bài tập lớn mạng my","BaiTap","3"
"Bài tập về nhà môn Đại số tuyến tính cần hoàn thành sớm để kịp hạn nộp.","Bài tập đại số tuyến","BaiTap","3"
"Thi giữa kỳ môn Giải tích 2 sắp diễn ra, mình đang ôn theo đề cương.","Thi giữa kỳ giải tích","ThiCuoiKy","3"
"Đồ án môn Kỹ thuật phần mềm còn nhiều việc chưa xong, nhóm mình đang chạy deadline.","Đồ n kỹ thuật phần","DuAn","3"
"Mình cần chuẩn bị cho bài kiểm tra Triết học, độ khó khá cao.","Kiểm tra triết học","KiemTraThuongXuyen","5"
"Môn Cơ sở dữ liệu thi cuối kỳ khá khó, cần ôn theo từng chương.","Thi cuối kỳ cơ sở","ThiCuoiKy","5"
"Nhóm mình cần nộp bài tập môn Quản trị học trong tuần này.","Bài tập nhóm quản trị","BaiTap","3"
"Tuần này có bài kiểm tra môn Toán cao cấp, mình đang ôn lại nội dung chính.","Kiểm tra ton cao cấp","KiemTraThuongXuyen","3"
"Báo cáo Hóa phân tích phải nộp trong tuần này, mình đang viết phần nhận xét.","Bo co hóa phân tích","ThiCuoiKy","3"
"Bài tập lớn môn Kỹ thuật phần mềm khá nặng, mình đang chia nhỏ công việc để làm dần.","Bài tập lớn kỹ thuật","BaiTap","3"
"Ai có đề cương thi cuối kỳ môn Máy điện cho mình xin tham khảo.","Thi cuối kỳ my điện","ThiCuoiKy","3"
"Mình chưa xong bài tập Xác suất thống kê, tối nay phải làm dứt điểm.","Bài tập xc suất thống","BaiTap","3"
"Chiều mai kiểm tra Pháp luật đại cương, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra php luật đại","KiemTraThuongXuyen","3"
"Deadline đồ án Thiết kế web đã gần, mình cần hoàn thiện phần demo.","Đồ n thiết kế web","ThiCuoiKy","3"
"Deadline bài tập lớn môn Kinh tế lượng sắp tới, mình đang hoàn thiện phần cuối.","Bài tập lớn kinh tế","ThiCuoiKy","3"
"Mình cần ôn gấp cho bài thi giữa kỳ Kinh tế vĩ mô, nội dung khá nhiều.","Thi giữa kỳ kinh tế","ThiCuoiKy","5"
"Bài tập nhóm Marketing đang thiếu một vài phần, cần họp nhóm gấp.","Bài tập nhóm marketing","ThiCuoiKy","5"
"Bài tập môn Giải tích số có vài câu khó, mình đang đối chiếu tài liệu.","Bài tập giải tích số","BaiTap","5"
