"InputText","TaskName","TaskType","Difficulty","HasDeadline","Urgency","TimeExpression","DeadlineType"
"thay bao la ko dc xai tai lieu nha","Nhắc nhở","NhacNho","3","0","low","","none"
"ủa alo thứ 3 có tiết k m","Nhắc nhở","NhacNho","3","1","medium","thứ 3","weekday"
"Ê chiều nay đi đá bóng nha","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"tối ra net đánh 2 trận lol ko m","Nhắc nhở","NhacNho","3","0","low","","none"
"nay t mệt quá cúp cua 1 bữa nha","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"trua an gi m t dki com tam nhe","Nhắc nhở","NhacNho","3","0","low","","none"
"dm ktx cúp điện r nóng vãi","Nhắc nhở","NhacNho","3","0","low","","none"
"mày có link discord của lớp ko gửi t xin","Nhắc nhở","NhacNho","3","0","low","","none"
"mai m chở tao đi hc đc ko xe tao hư r","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"cuoi tuan nay hoi truong co event j a","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"đm ông thầy nay nói cái qq j ko hiểu lun","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"cuối tuần này chả muốn lết xác ra khỏi giường mà ông thầy bắt nộp báo cáo 😢","Nhắc nhở","NhacNho","3","1","high","cuối tuần","relative"
"cái hw nay ảo ma canada quá giải nãy h đ ra","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"lamf bsai tapj hoas chua m","Nhắc nhở","NhacNho","3","0","low","","none"
"mai deadline roi mak t vẫn đag luớt toptop nè haiz","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"tới công chiện gòi cô bắt viết tay 5 trang","Ôn tập","OnTap","3","0","low","","none"
"vừa thất tình vừa phải làm đống bài tập giải tích 💔","Bài tập","BaiTap","3","1","low","","submission"
"nay làm bài tập dc có 5 điểm trầm cảm cmnl","Bài tập","BaiTap","3","1","high","nay","relative"
"deadline dí sát đít r mà vẫn lười vl =))","Nhắc nhở","NhacNho","3","0","low","","none"
"có pro nào thông não giúp t cái đề này ko","Nhắc nhở","NhacNho","3","0","low","","none"
"assignment chua lo xong ma con bao đi nhậu","Bài tập","BaiTap","3","1","low","","submission"
"chiu nay test vl tao sợ rớt môn","Kiểm tra","KiemTraThuongXuyen","5","1","high","nay","relative"
"thu tu co bai kiem tra giua ky mon xac suat do nha","Nhắc nhở","NhacNho","3","0","low","","none"
"thằng nào có đề test năm ngoái share tao với","Kiểm tra","KiemTraThuongXuyen","3","1","low","","submission"
"test online hay offline vay m","Kiểm tra","KiemTraThuongXuyen","3","1","low","","submission"
"hôm bữa cô dặn ôn bài gì để ktra v tụi m","Kiểm tra v tụi m","KiemTraThuongXuyen","3","1","high","","submission"
"tí tao bùng tiết nha ktra m nhắc t","Kiểm tra m nhắc t","KiemTraThuongXuyen","3","1","high","","submission"
"bai ktra hs2 mak de vkl tao 10 d r mn oi","Kiểm tra hs2 mak de vkl tao 10 d r mn oi","KiemTraThuongXuyen","3","1","high","","submission"
"thay cho quiz tren lms a mn vào lm lẹ 5p nữa đóng","Kiểm tra","KiemTraThuongXuyen","3","1","low","","submission"
"lsmf baif test chuwa day bro","Kiểm tra","KiemTraThuongXuyen","3","1","low","","submission"
"móa nó ktra 1 tiết mà cho mẹ 4 câu tự luận siêu khó","Kiểm tra 1 tiết mà cho mẹ 4 câu tự luận siêu khó","KiemTraThuongXuyen","3","1","high","","submission"
"tâm linh mách bảo mai thi vào câu 3","Thi vào câu 3","ThiCuoiKy","3","1","high","mai","relative"
"đụ má rớt môn chắc luôm r thi gì khó như quỷ","Thi gì khó như quỷ","ThiCuoiKy","5","1","high","","submission"
"nay tao di thi mak mang sai but chì 2b đcm đen","Thi mak mang sai but chì 2b đcm đen","ThiCuoiKy","3","1","high","nay","relative"
"lịch thi final của tao là nguyên tuần sau full đét","Thi final của tao là nguyên tuần sau full đé","ThiCuoiKy","3","1","high","tuần sau","relative"
"thi off t sợ vãi t thèm thi onl","Thi onl","ThiCuoiKy","3","1","high","","submission"
"m thi chung phòng 402 vs t pk","Thi chung phòng 402 vs t pk","ThiCuoiKy","3","1","high","","submission"
"mai thi djt cuj no mak d dau dam ngu","Thi djt cuj no mak d dau dam ngu","ThiCuoiKy","3","1","high","mai","relative"
"xong môn này ăn nhậu xõa nha ae","Nhắc nhở","NhacNho","3","0","low","","none"
"ê thi dc mang máy tính casio zo ko m","Thi dc mang máy tính casio zo ko m","ThiCuoiKy","3","1","high","","submission"
"dm thi vấn đáp t run như cầy sấy 🥶","Thi vấn đáp t run như cầy sấy 🥶","ThiCuoiKy","3","1","high","","submission"
"project team mình hqua review bị thầy chê quá tr 🥲","Làm project","BaiTap","4","1","low","","submission"
"ai rảnh vô docs edit lại giùm t mấy chỗ typo đi","Nhắc nhở","NhacNho","3","0","low","","none"
"tuan sau present ma team ch ai lam gi la sao tui m","Ôn tập","OnTap","3","1","medium","tuan sau","relative"
"sếp bảo mai nộp plan cho project mới á ae","Làm project","BaiTap","4","1","high","mai","relative"
"tao lo phần design ui ux nha","Nhắc nhở","NhacNho","3","0","low","","none"
"code chay dc roi ma deploy bi loi wtf","Nhắc nhở","NhacNho","3","0","low","","none"
"m làm ơn phản hồi tin nhắn group nha thg lol","Nhắc nhở","NhacNho","3","0","low","","none"
"thầy review bảo ý tưởng sáo rỗng ae nghĩ lại idea nhe","Review bài","OnTap","3","0","low","","none"
"chot kịch bản quay film vao toi thu 5 nhe","Nhắc nhở","NhacNho","3","0","low","","none"
"đồ án mn tự thân vận động nha t ốm k gánh dc r","Làm project","BaiTap","4","1","low","","submission"
"cứu bé bài toán này với 🆘","Nhắc nhở","NhacNho","3","0","low","","none"
"tao ôn nãy h mờ cả mắt rồi ae ơi","Ôn tập","OnTap","3","0","low","","none"
"dm học thuộc lòng 20 trang tết mới xong","Nhắc nhở","NhacNho","3","0","low","","none"
"mai m rảnh ko qua starbuck học chung đi","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"có đứa nào có bí kíp qua môn ko share tớ xin","Nhắc nhở","NhacNho","3","0","low","","none"
"chiều ni đi thư viện cày đề nha m","Ôn tập","OnTap","3","0","low","","none"
"học trc quên sau não cá vàng vl","Nhắc nhở","NhacNho","3","0","low","","none"
"nay phai doc xong chuong 4 mai con hoc tiep chuong 5","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"gấp sách lại và đi ngủ mai xem típ z","Nhắc nhở","NhacNho","5","1","high","mai","relative"
"ai rảnh call dọa dò bài t dc k m xao nhãng quá","Nhắc nhở","NhacNho","3","0","low","","none"
"nho mua cho tao to xoi trc khi vao lop nhe","Nhắc nhở","NhacNho","3","0","low","","none"
"ae nộp đt lên bàn gvien nha","Nhắc nhở","NhacNho","3","0","low","","none"
"đóng tiền học phí hnay là hạn cuối nha ae","Nhắc nhở","NhacNho","3","1","low","nay","relative"
"thông báo dời lịch học bù sang sáng t7 nha","Ôn tập","OnTap","3","0","low","t7","weekday"
"nhớ mang giẻ lau bảng nha m","Nhắc nhở","NhacNho","3","0","low","","none"
"mang cccd di chup ki yeu nhe mn","Nhắc nhở","NhacNho","3","0","low","","none"
"mai đi học mặc áo đoàn nha m","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"nho gui link gg meet vao nhom nhe","Nhắc nhở","NhacNho","3","0","low","","none"
"đừng quen lm khao sat cua khoa nha mk","Nhắc nhở","NhacNho","3","0","low","","none"
"mng nhớ vote cho clb mik nhe","Nhắc nhở","NhacNho","3","0","low","","none"
"sáng mai ai rảnh cafe bệt k","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"tối tao k onl đâu đi chơi vs bồ r 😚","Nhắc nhở","NhacNho","3","0","low","","none"
"co cho xe k tao wa ru ruoc roi di hoc chung","Nhắc nhở","NhacNho","3","0","low","","none"
"đm nhỏ kia nay mặc đồ xinh vl ae ạ","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"mượn 200k mai trả dc ko đg kẹt qá","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"hôm nay trg có ca nhạc j sập xình quá","Nhắc nhở","NhacNho","3","1","high","hôm nay","relative"
"thang l nay ban hoai rep ib cham vl","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"cho t xin in4 bạn nữ áo hồng ban nãy","Nhắc nhở","NhacNho","3","0","low","","none"
"thẻ sv t rớt ở căn tin h ra méo thấy","Nhắc nhở","NhacNho","5","0","low","","none"
"tốn bao tiền vào cf học m k vào đc chữ nào","Nhắc nhở","NhacNho","3","0","low","","none"
"nay t nộp essay xong ăn mừng tưng bừng ln mn ơi","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"đề cwong kho vãi lồn thầy gjan ác vc","Nhắc nhở","NhacNho","3","0","low","","none"
"mai deadline mà mik còn coi phim hàn nữa chứ","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"có pro code frontend nào giúp t pass bài này khum 😭","Bài tập","BaiTap","3","1","low","","submission"
"mng lam exercise 4 tren moodle ch","Nhắc nhở","NhacNho","3","0","low","","none"
"baof tbap nay de~ mak ae ko lam dc a","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"hqa làm bài ko save nay phải gõ lại cay","Ôn tập","OnTap","3","1","high","nay","relative"
"chuẩn bị nộp hw 2 mng nhớ ktra lại đạo văn nha","Kiểm tra lại đạo văn nha","KiemTraThuongXuyen","3","1","high","","submission"
"mai kiểm tra roi mak t chua kip in de nua m co du de ko","Kiểm tra roi mak t chua kip in de nua m co du de ","KiemTraThuongXuyen","3","1","high","mai","relative"
"bai nay ra trong quiz hqua roi tuc ghe t ko hoc","Kiểm tra","KiemTraThuongXuyen","3","1","high","nay","relative"
"cô nói mai test 15p nhg hnay cô ốm z mai nghỉ hay vẫn test onl","Kiểm tra","KiemTraThuongXuyen","3","1","high","mai","relative"
"huhu điểm test 1 thấp quá mk phải cố kéo lại","Kiểm tra","KiemTraThuongXuyen","3","1","low","","submission"
"thu 6 ktra speaking 1-1 t xo qus m oi","Kiểm tra speaking 1-1 t xo qus m oi","KiemTraThuongXuyen","3","1","high","","submission"
"toang roi tk tao chua dk mon thi dcm","Thi dcm","ThiCuoiKy","5","1","high","","submission"
"dm mai thi mac thay mo t run wa","Thi mac thay mo t run wa","ThiCuoiKy","3","1","high","mai","relative"
"lịch thi final của khoa m ra chưa","Thi final của khoa m ra chưa","ThiCuoiKy","3","1","high","","submission"
"đợt này final chắc toàn trắc nghiệm th chứ tự luận t đứt","Kiểm tra","ThiCuoiKy","3","1","low","","submission"
"mô phật cho con thi qua môn này 10d k cần thiết","Thi ết","ThiCuoiKy","3","1","high","","submission"
"chot pj nha ae m lam word con lai t lam ppt","Nhắc nhở","NhacNho","3","0","low","","none"
"mng oi phan t lam t gui link drive r dzo ktra xem ok chua","Kiểm tra xem ok chua","KiemTraThuongXuyen","3","1","high","","submission"
"tuần này team đi thực địa chụp ảnh lmm phóng sự nha","Nhắc nhở","NhacNho","3","0","low","","none"
"đóng máy đ ngủ mai làm đồ án tiếp đuối qá r","Làm project","BaiTap","4","1","high","mai","relative"
"nhóm bạn hùng hqua present dc cô khen qá chừng mik p cố lên","Ôn tập","OnTap","3","0","low","","none"
"cuoi tuan cf on bai nhe t bi out trinh mon nay r","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"t ôn môn này dc 1 tiếng mà não load k nổi lun á đừ vãi","Ôn tập","OnTap","3","0","low","","none"
"có đứa nào note bài đầy đủ ko cho tớ xin vs","Nhắc nhở","NhacNho","3","0","low","","none"
"học onl nãy h buồn ngủ vãi chắc t bỏ môn này quá","Nhắc nhở","NhacNho","3","0","low","","none"
"tổng kết lại chương 1 có ai ch hiểu khúc nào ko","Nhắc nhở","NhacNho","3","0","low","","none"
"nhắc mng mai đi học đúng h thầy khó lắm khóa cửa đ cho vô","Nhắc nhở","NhacNho","5","1","high","mai","relative"
"quên mk wifi truong mng cho t xin lai","Nhắc nhở","NhacNho","3","0","low","","none"
"nhớ up file lên thư mục share trc 12h đêm nha","Nhắc nhở","NhacNho","3","0","low","","none"
"dặn dò nhẹ nhàng mai mặc áo thun trắng đi thực hành nha","Nhắc nhở","NhacNho","2","1","high","mai","relative"
"nhớ đem sạc theo lap top tao hết pin rồi","Nhắc nhở","NhacNho","3","0","low","","none"
"ai thay chiec chia khoa xe may t rớt đâu đ ko cứu tao vs","Nhắc nhở","NhacNho","5","0","low","","none"
"đang bận vcl tụi m đi nhậu ko gọi 😡","Nhắc nhở","NhacNho","3","0","low","","none"
"thèm trà sữa quá ai bao k t kẹt tiền 🥹","Nhắc nhở","NhacNho","3","0","low","","none"
"thang nao an cap xe dap nha t ma k tra the dcm","Nhắc nhở","NhacNho","3","0","low","","none"
"sáng nay căng tin hết mịe bánh bao ăn mì tôm nản vc","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"ông dáo dạy chán vl tao ngủ gật 2 lần r","Nhắc nhở","NhacNho","3","0","low","","none"
"muộn 5p gvien đ đuổi nhg 6p là ổng bắt dọn vsinh m cân nhắc","Nhắc nhở","NhacNho","3","0","low","","none"
"nay t nghỉ phép nha bệnh ốm dặt dẹo r","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"mới bị ny cắm sừng đ học hành mẹ j nx đi nhậu dzooo","Nhắc nhở","NhacNho","3","0","low","","none"
"alo ai biet nha xe d de o khu vuc nao ko m","Nhắc nhở","NhacNho","3","0","low","","none"
"cai lz j the nay bug d fix dc đập máy luôn 🤬","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"bai assignment này ko nộp kịp chac ddc đi chăn bò","Bài tập","BaiTap","3","1","high","","submission"
"tự nhiên cô cho bài bouns t mừng gớt nc mắt","Nhắc nhở","NhacNho","3","0","low","","none"
"m làm hw môn dluật ch gửi m xem tham khảo m chả bít lm j","Nhắc nhở","NhacNho","3","0","low","","none"
"mai lsmf bsai tấp á tao chua xem đề luon mak","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"chưa bao h t thấy bài test trên lớp nhàn ntn haha","Kiểm tra","KiemTraThuongXuyen","3","1","low","","submission"
"bai ktra cua mng nay ok k mk làm sai cmn câu cúi huhu","Kiểm tra cua mng nay ok k mk làm sai cmn câu cúi ","KiemTraThuongXuyen","3","1","high","nay","relative"
"test anh văn bà cô gác gắt quá t d copy đc con me j","Kiểm tra","KiemTraThuongXuyen","3","1","low","","submission"
"đc 10đ bài kiểmtra tk nhỏ mừng húm mn ạ 😍","Nhắc nhở","NhacNho","3","0","low","","none"
"t d m m thj cck ak s ch hoc j m ranh the","Nhắc nhở","NhacNho","3","0","low","","none"
"thi final mà t ngồi gãi đít từ đầu h tới cúi h","Thi final mà t ngồi gãi đít từ đầu h tới cúi","ThiCuoiKy","3","1","high","","submission"
"đề thi này đ dnhf cho học sinh con người má ác dã man","Thi này đ dnhf cho học sinh con người má ác ","ThiCuoiKy","3","1","high","","submission"
"tao mớ dc cho pass đề thi m lấy ko 🤫","Thi m lấy ko 🤫","ThiCuoiKy","3","1","high","","submission"
"ôn thi ccc mai ra cf chơi r tối về cày đêm lun m","Thi ccc mai ra cf chơi r tối về cày đêm lun ","ThiCuoiKy","3","1","high","mai","relative"
"cái pj này t muốn đập đi xây lại mệt mỏi qá r ae","Nhắc nhở","NhacNho","3","0","low","","none"
"chiều t3 họp group tóm tắt slide nha đ đi phạt 50k","Ôn tập","OnTap","3","0","low","t3","weekday"
"nhóm 2 chả làm gì mà dcm chấm cao hơn team mk d cay","Nhắc nhở","NhacNho","3","0","low","","none"
"edit lmj cho dài cô bẻ bắt bẻ mệt m just make it simple","Nhắc nhở","NhacNho","4","0","low","","none"
"kịch bản video pj môn xã hội mk ntn mn có ý kiến j hum","Nhắc nhở","NhacNho","3","0","low","","none"
"ae thg onl luc may h dể hoc bai chung z","Nhắc nhở","NhacNho","3","0","low","","none"
"mẹ nó bài học nhìu dã man t ngán tận cổ r 🤢","Nhắc nhở","NhacNho","3","0","low","","none"
"có pro nào tổng hợp công thức vật lí đại cương phần quang hq chưa","Nhắc nhở","NhacNho","3","0","low","","none"
"tao k biết tsao tao ngu môn toán thế review lại vẫn ngu","Review bài","OnTap","3","0","low","","none"
"cú t vs đng ôn bài khu trọ ngta hts kake um sùm đ nhét zo não nổi","Ôn tập","OnTap","3","0","low","","none"
"remind ai ch dki môn thì dki lẹ hệ thống cb sập r","Nhắc nhở","NhacNho","3","0","low","","none"
"nhac ae la hom nay den h nop the do nha d quen d","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"khi đi nhớ tắt điện tắt quạt phg học mk ơi","Nhắc nhở","NhacNho","3","0","low","","none"
"ai dk tham gia seminar thi đk vs lp trg nha mng","Thi đk vs lp trg nha mng","ThiCuoiKy","3","1","high","","submission"
"ae luu ý nay cô gác thi siêu siêu khó lmj nhớ cẩn thận","Thi siêu siêu khó lmj nhớ cẩn thận","ThiCuoiKy","5","1","high","nay","relative"
"bùn vl tự nhiến nay xe hư k đi dẩy d vs mng dc r","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"nhờ m mua tao ly cfe đen ko đg tao trả trc 50k hsau bù nha","Nhắc nhở","NhacNho","3","0","low","","none"
"chán d muốn học nữ m muốn bỏ hc vl","Nhắc nhở","NhacNho","3","0","low","","none"
"trốn về trc ko ae chứ ngồi đít đau cmnr","Nhắc nhở","NhacNho","3","0","low","","none"
"t đang nợ môn sml r m tính đi du lịch sao d dm","Nhắc nhở","NhacNho","3","0","low","","none"
"đi vệ sinh d có giấy cayyy d chịu dc ở dơ vcl trg","Nhắc nhở","NhacNho","3","0","low","","none"
"lâu lắm mới dc đi bộ vòng trg mỏi cẳng qá mk ơi","Nhắc nhở","NhacNho","3","0","low","","none"
"lập trình 1 là con môn quỷ dị đm nó cướp t 3 tr","Nhắc nhở","NhacNho","3","0","low","","none"
"ko biết bao h mới giàu k p cắm mặt làm mấy cái test khỉ hó này nx","Kiểm tra","KiemTraThuongXuyen","3","1","low","","submission"
"nay lm bt vui vẻ vl d bị lỗi hnao 😍","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"dcm deadline lúc 12h trưa chứ k p 12h đêm toang cmnr 😭","Nhắc nhở","NhacNho","5","0","low","","none"
"mày nộp bài chưa tao copy past nha lẹ lẹ ông kia check h","Nhắc nhở","NhacNho","3","0","low","","none"
"hqa đ có tgian lm bài lun đi lm thêm mệt quá dcm","Nhắc nhở","NhacNho","3","0","low","","none"
"t bt cach giai btoan nay roi de tao chi cho m hehe","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"nay cô cho test thu mà tao dc co 2d vcl","Kiểm tra","KiemTraThuongXuyen","3","1","high","nay","relative"
"sổ điểm danh dâu đưa t kí nốt nay có quiz đấy","Kiểm tra","KiemTraThuongXuyen","3","1","high","nay","relative"
"15p hay 45p v m sao tao nghe dua bao vay dua bao kia d hiểu j","Nhắc nhở","NhacNho","3","0","low","","none"
"mk d lm kịp bài ktra m ơi h cô d cho nộp gòi s jo","Kiểm tra m ơi h cô d cho nộp gòi s jo","KiemTraThuongXuyen","3","1","high","","submission"
"toang r mai ktra r m tao di uong tsua d quan tam nx","Kiểm tra r m tao di uong tsua d quan tam nx","KiemTraThuongXuyen","3","1","high","mai","relative"
"tuần thi củ chuối này t thức tới 3h sag liên tục 2 ngày r mắt thâm quần ln","Thi củ chuối này t thức tới 3h sag liên tục ","ThiCuoiKy","3","1","high","","submission"
"mai mang thẻ sv đi ms dc vô phg thi nha tml tao nhắc r đấy","Thi nha tml tao nhắc r đấy","ThiCuoiKy","3","1","high","mai","relative"
"mai thivđ mak m đ học m định cạp cứt à đm tk điên","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"nay t dọn đồ về quê nha ae thi xong r xả stress thoyy","Thi xong r xả stress thoyy","ThiCuoiKy","3","1","high","nay","relative"
"có leak đề k ae xin leak đề t biêt tao ôm phật","Nhắc nhở","NhacNho","3","0","low","","none"
"sao code tao cứ error hoài thế này bưc vl ai team vô coi chung đi","Nhắc nhở","NhacNho","3","0","low","","none"
"làm nốt cái slide nay đi mk mai r đi coi phim d thư gian j hệt","Ôn tập","OnTap","3","1","high","nay","relative"
"t thấy idea của thg a k khả thi cho prj mk đổi đề tài đ k","Thi cho prj mk đổi đề tài đ k","ThiCuoiKy","3","1","high","","submission"
"mai deadline d roi con ru tao di choi dkmm thg kia","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"mk chia tien in an pj ntn ae","Nhắc nhở","NhacNho","3","0","low","","none"
"nay t bị nhức đầu qá d ôn vô nhung m nhớ dặn thầy gửi rec cho t nha","Ôn tập","OnTap","3","1","high","nay","relative"
"đề cwong d j dài như sớ táo quân z chài ui","Nhắc nhở","NhacNho","4","0","low","","none"
"ai ranh call t t review ctruc cho","Review bài","OnTap","3","0","low","","none"
"mai có buồi recap môn cơ sở dữ liệu á đi k m","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"tao quên đem mẹ vở ôn rồi làm s học m cho t ngó xíu nha","Ôn tập","OnTap","3","0","low","","none"
"nhắc mng d quên nộp 200k lệ phí thi t anh trc ngày 15/4 nghen","Thi t anh trc ngày 15/4 nghen","ThiCuoiKy","3","1","high","","submission"
"ai hq nhầm áo khoác của t thì đem lên thư viện t lấy nha dcm lạnh qá","Nhắc nhở","NhacNho","3","0","low","","none"
