"Id","Category","PairId","Input","Note"
"F027","abbrev","","tuần sau nữa tgk mác, xỉu ngang","verbatim collected_v4 row -- abbreviation WITH diacritics elsewhere"
"F028","abbrev","","tgk ktvm + xstk cung tuan, toang","two abbreviated subjects in one input"
"F029","abbrev","","dk thi lai ktct truoc t6","'ktct' = kinh te chinh tri; phrasing the heuristic parser handles weakly"
"F030","abbrev","","nop bc ttcs cho thay mai","chained abbreviations with no diacritics anywhere"
"F031","empty","","","empty string"
"F032","empty",""," ","single space"
"F033","empty","","   ","three spaces"
"F034","empty","","\t \t","tabs and spaces"
"F035","empty","","\n","bare newline -- survives the round trip only because inputs are escaped"
"F036","empty","","  \r\n  ","CRLF surrounded by spaces"
"F037","pathological","","thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau thi giữa kỳ giải tích tuần sau","~5k chars of repeated realistic Vietnamese -- exceeds both candidates' sequence limits with diacritics intact"
"F038","pathological","","thigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansauthigiuakygiaitichtuansau","~2k chars with NO whitespace at all -- worst case for any tokenizer that leans on word boundaries"
