"InputText","TaskName","TaskType","Difficulty","HasDeadline","Urgency","TimeExpression","DeadlineType"
"mai test anh văn","Test","KiemTraThuongXuyen","3","1","high","chiều nay","relative"
"mai kt 1 tiết Cơ sở dữ liệu sợ toang ak","Nhắc nhở","NhacNho","5","1","high","mai","relative"
"anh pop quiz môn sinh chiều nay","Quiz","KiemTraThuongXuyen","4","1","medium","hôm nay","relative"
"Ai có đề cương thi cuối kỳ môn Sinh lý học cho mình xin tham khảo.","Thi cuối kỳ môn Sinh lý học cho mình xin tha","ThiCuoiKy","3","1","high","","submission"
"deadline on thi cuối kỳ Cd sở dữ liệu aang tới gần","Thi cuối kỳ Cd sở dữ liệu aang tới gần","ThiCuoiKy","4","1","high","","submission"
"e k hiểu quiz tuần này 😐","Kiểm tra","KiemTraThuongXuyen","3","1","low","","submission"
"hôm nay ôn tập Cơ sở dữ liệu nhé mọi người zz","Ôn tập","OnTap","3","1","high","hôm nay","relative"
"ai làm xong assignment Lập trình chưa cho t copy tẹo =))","Bài tập","BaiTap","3","1","low","","submission"
"nhóm 3 hnay nộp proposal cho cô nha","Nộp proposal","BaiTap","3","1","high","nay","relative"
"báo cáo Toán làm thuyết trình ez 😭","Ôn tập","OnTap","2","0","low","","none"
"on Toan sưdng sưdng thoi","Nhắc nhở","NhacNho","2","0","low","","none"
"ktra miệng hóa lụm 🙃","Kiểm tra","KiemTraThuongXuyen","3","1","high","tuần sau","relative"
"tâm linh mách bảo mai thi vào câu 3","Thi vào câu 3","ThiCuoiKy","3","1","high","mai","relative"
"cuối tuần phải review lại Lập trình cho kỹ 😭","Review bài","OnTap","2","1","medium","cuối tuần","relative"
"đừng quên nộp lệ phí học Mạng máy tính ae ơi ak","Nhắc nhở","NhacNho","1","0","low","","none"
"Bài tập lớn môn Nhập môn lập trình nộp thứ 3 tuần 11, làm game đoán số bằng C.","Bài tập","BaiTap","3","1","high","thứ 3","weekday"
"vừa thất tình vừa phải làm đống bài tập giải tích 💔","Bài tập","BaiTap","3","1","low","","submission"
"báo cáo Mạng máy tính làm thuyết trình ez","Ôn tập","OnTap","2","0","low","","none"
"tao ô n thi đợt này kk 🤯","Thi","ThiCuoiKy","5","1","high","hôm nay","relative"
"đợt này test nhỏ c++","Test","KiemTraThuongXuyen","2","1","medium","tuần sau","relative"
"deadline ôn thi cuối kỳ Toán đang tới gần vkl","Thi cuối kỳ Toán đang tới gần vkl","ThiCuoiKy","4","1","high","","submission"
"aừng quen nộp lệ phi học Toan ae di","Nhắc nhở","NhacNho","1","0","low","","none"
"hôm nay ôn tập Cơ sở dữ liệu nhé mọi người","Ôn tập","OnTap","3","1","high","hôm nay","relative"
"ngồi coy lại Hoa mệt vl 😭","Nhắc nhở","NhacNho","5","0","low","","none"
"mai thi djt cuj no mak d dau dam ngu","Thi djt cuj no mak d dau dam ngu","ThiCuoiKy","3","1","high","mai","relative"
"ô n thi đợt này","Thi","ThiCuoiKy","3","1","high","cuối tuần","relative"
"bọn mình học bù phần mạng máy tính lụm 💀","Ôn tập","OnTap","3","1","medium","tuần sau","relative"
"Đồ án môn Công nghệ phần mềm còn nhiều việc chưa xong, nhóm mình đang chạy deadline.","Làm project","BaiTap","4","1","high","","submission"
"Mình cần nộp báo cáo môn Điện tử số trước hạn, hiện đang hoàn thiện số liệu.","Nhắc nhở","NhacNho","3","0","low","","none"
"deadline ôn thi cuối kỳ Hóa đang tới gần ak","Thi cuối kỳ Hóa đang tới gần ak","ThiCuoiKy","4","1","high","","submission"
"Mình cần ôn gấp cho bài thi giữa kỳ Tiếng Anh 3, nội dung khá nhiều.","Thi giữa kỳ Tiếng Anh 3, nội dung khá nhiều","ThiCuoiKy","5","1","high","","submission"
"em ô n exam đợt này","Thi","ThiCuoiKy","4","1","medium","mai","relative"
"tuan sau phai present cai slide nay roi","Ôn tập","OnTap","3","1","high","tuan sau","relative"
"Deadline bài tập lớn môn Tâm lý học sắp tới, mình đang hoàn thiện phần cuối.","Bài tập","BaiTap","3","1","high","","submission"
"Đợt thi giữa kỳ môn Kinh tế vĩ mô khó hơn mình dự kiến, phải tập trung hơn.","Thi giữa kỳ môn Kinh tế vĩ mô khó hơn mình d","ThiCuoiKy","5","1","high","","submission"
"cuoi tuan nay thi r tao dang bi tram cam 🫠","Thi r tao dang bi tram cam 🫠","ThiCuoiKy","3","1","high","nay","relative"
"báo cáo Triết làm thuyết trình ez 👍","Ôn tập","OnTap","2","0","low","","none"
"cày đề toán tối nay :)) 🤯","Ôn tập","OnTap","2","0","low","","none"
"chuẩn bị thi final Triết rôi lo quá","Thi final Triết rôi lo quá","ThiCuoiKy","5","1","high","","submission"
"Bài presentation nhóm mình làm đến đâu rồi?","Nhắc nhở","NhacNho","3","0","low","","none"
"ôn Lập trình sương sương thôi","Ôn tập","OnTap","2","0","low","","none"
"chu u lịch học bo Cd sở dữ liệu tuần sau","Nhắc nhở","NhacNho","2","1","medium","tuần sau","relative"
"ngồi cày lại Kỹ năng mềm mệt vl 😭 hz","Nhắc nhở","NhacNho","5","0","low","","none"
"thèm trà sữa quá ai bao k t kẹt tiền 🥹","Nhắc nhở","NhacNho","3","0","low","","none"
"Tối nay ăn gì đây, mọi người gợi ý món ngon với.","Nhắc nhở","NhacNho","3","1","high","tối nay","relative"
"Mình phải nộp bài tập lớn Truyền thông đa phương tiện trong tuần này, ai rảnh review giúp mình không?","Bài tập","BaiTap","3","1","high","","submission"
"Thi giữa kỳ môn Kỹ thuật điện sắp diễn ra, mình đang ôn theo đề cương.","Thi giữa kỳ môn Kỹ thuật điện sắp diễn ra, m","ThiCuoiKy","3","1","high","","submission"
"thầy review bảo ý tưởng sáo rỗng ae nghĩ lại idea nhe","Review bài","OnTap","3","0","low","","none"
"Học kỳ này nhiều môn quá, cảm giác hơi quá tải.","Nhắc nhở","NhacNho","3","0","low","","none"
"Bài discusion forum tuần này mình làm gì vậy ạ?","Nhắc nhở","NhacNho","3","0","low","","none"
"ôn Hóa sương sương thôi","Ôn tập","OnTap","2","0","low","","none"
"bọn mình lịch thi ra rồi vl ✨","Thi","ThiCuoiKy","3","1","medium","hôm nay","relative"
"em quiz anh văn 🥲 🙃","Quiz","KiemTraThuongXuyen","3","1","medium","tuần sau","relative"
"tóm tắt bài giảng","Ôn tập","OnTap","3","0","low","","none"
"chú ý lịch học bù Triết tuần sau 😂","Ôn tập","OnTap","2","1","medium","tuần sau","relative"
"bài tập Triết về nhà tuần này dài ngoằng","Bài tập","BaiTap","4","1","low","","submission"
"thi giữa kỳ triết căng 🧠","Thi","ThiCuoiKy","4","1","high","mai","relative"
"Đợt thi giữa kỳ môn Toán cao cấp A3 khó hơn mình dự kiến, phải tập trung hơn.","Thi giữa kỳ môn Toán cao cấp A3 khó hơn mình","ThiCuoiKy","4","1","high","","submission"
"Ai có đề cương thi cuối kỳ môn Động lực học cho mình xin tham khảo.","Thi cuối kỳ môn Động lực học cho mình xin th","ThiCuoiKy","3","1","high","","submission"
"báo cáo Cơ sở dữ liệu làm thuyết trình ez vkl","Ôn tập","OnTap","2","0","low","","none"
"bài tập Toán về nhà tuần này dài ngoằng zz","Bài tập","BaiTap","4","1","low","","submission"
"đồ án mn tự thân vận động nha t ốm k gánh dc r","Làm project","BaiTap","4","1","low","","submission"
"thứ 3 ktra 15p sử haha 🔥","Kiểm tra 15 phút","KiemTraThuongXuyen","3","1","medium","tuần sau","relative"
"ai làm xong assignment Toán chưa cho t copy tẹo =))","Bài tập","BaiTap","3","1","low","","submission"
"cuối tuần phải review lại Triết cho kỹ 👍","Review bài","OnTap","2","1","medium","cuối tuần","relative"
"cuối tuần phải review lại Toán cho kỹ 🔥","Review bài","OnTap","2","1","medium","cuối tuần","relative"
"nay t mệt quá cúp cua 1 bữa nha","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"đợt này final chắc toàn trắc nghiệm th chứ tự luận t đứt","Kiểm tra","ThiCuoiKy","3","1","low","","submission"
"lát học xong ở lại test thử c++ nha","Kiểm tra","KiemTraThuongXuyen","3","1","low","","submission"
"Bài tập về nhà môn Đại số tuyến tính cần hoàn thành sớm để kịp hạn nộp.","Bài tập","BaiTap","3","1","high","","submission"
"anh thi c cuối tuần","Thi","ThiCuoiKy","5","1","medium","tháng sau","relative"
"Bài tập môn Giải tích số có vài câu khó, mình đang đối chiếu tài liệu.","Bài tập","BaiTap","5","1","low","","submission"
"ai thay chiec chia khoa xe may t rớt đâu đ ko cứu tao vs","Nhắc nhở","NhacNho","5","0","low","","none"
"ai làm xong assignment Kỹ năng mềm chưa cho t copy tẹo =))","Bài tập","BaiTap","3","1","low","","submission"
"t kiểm tra miệng hóa vc 😵‍💫","Kiểm tra","KiemTraThuongXuyen","4","1","high","mai","relative"
"bài lab lập trình mạng tuần này mk chưa hiểu gì, deadline thứ 5","Nhắc nhở","NhacNho","3","1","high","thứ 5","weekday"
"project môn Lập trình đang trễ tiến độ","Làm project","BaiTap","4","1","low","","submission"
"em exam mô kk 🙃","Thi cuối kỳ","ThiCuoiKy","4","1","medium","tháng sau","relative"
"xem lại mindmap sinh","Ôn tập","OnTap","2","0","low","","none"
"nhớ mang theo laptop thực hành Kỹ năng mềm nha","Nhắc nhở","NhacNho","2","0","low","","none"
"project môn Lý đang trễ tiến độ vkl","Làm project","BaiTap","4","1","low","","submission"
"pop quiz Lập trình dễ ăn điểm lắm","Kiểm tra","KiemTraThuongXuyen","3","1","low","","submission"
"Bài tập về nhà môn Điện tử cơ bản làm mạch chỉnh lưu, nộp kèm báo cáo vào thứ 6.","Bài tập","BaiTap","3","1","high","thứ 6","weekday"
"giải de c++","Giải đề","OnTap","1","1","medium","tối nay","relative"
"Nhớ làm bài tập về nhà môn Lập trình C++ trang 45 nha, dễ thôi.","Bài tập","BaiTap","2","1","low","","submission"
"nay t bị nhức đầu qá d ôn vô nhung m nhớ dặn thầy gửi rec cho t nha","Ôn tập","OnTap","3","1","high","nay","relative"
"mai thi toán chắc toang rồi 😭","Thi toán chắc toang rồi 😭","ThiCuoiKy","4","1","high","mai","relative"
"mai kt 1 tiết Kỹ năng mềm sợ toang ak","Nhắc nhở","NhacNho","5","1","high","mai","relative"
"toang roi tk tao chua dk mon thi dcm","Thi dcm","ThiCuoiKy","5","1","high","","submission"
"Nhóm mình còn thiếu phần kết luận báo cáo đồ án môn Cơ sở dữ liệu, hoàn thiện trước thứ 5.","Làm project","BaiTap","4","1","medium","thứ 5","weekday"
"lamf bsai tapj hoas chua m","Nhắc nhở","NhacNho","3","0","low","","none"
"học bù phần mạng máy tính lụi 💀","Ôn tập","OnTap","3","1","medium","hôm nay","relative"
"xem lại công thc hóa haha 🙃","Ôn tập","OnTap","2","0","low","","none"
"làm bài tập ktvm sao kho wá, chắc chớt mất","Bài tập","BaiTap","3","1","low","","submission"
"mấy đứa ơi bài thuyết trình nhóm mk lm slide chưa, sao chưa thấy ai làm gì hết","Ôn tập","OnTap","3","0","low","","none"
"Bài tập lớn môn Thiết kế web nộp tuần 14, làm responsive hoàn chỉnh có cả backend.","Bài tập","BaiTap","3","1","high","","submission"
"anh review bài hôm qua x100 🙃","Ôn tập","OnTap","2","0","low","","none"
"chieu nay kiem tra r ma h chua chu nao vao dau","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"Thi giữa kỳ môn Vật lý 2 sắp diễn ra, mình đang ôn theo đề cương.","Thi giữa kỳ môn Vật lý 2 sắp diễn ra, mình đ","ThiCuoiKy","3","1","high","","submission"
"thang l nay ban hoai rep ib cham vl","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"ôn Triết sương sương thôi 😂","Ôn tập","OnTap","2","0","low","","none"
"hôm nay ôn tập Triết nhé mọi người 😂","Ôn tập","OnTap","3","1","high","hôm nay","relative"
"hôm nay ôn tập Cơ sở dữ liệu nhé mọi người 😭","Ôn tập","OnTap","3","1","high","hôm nay","relative"
"hqa làm bài ko save nay phải gõ lại cay","Ôn tập","OnTap","3","1","high","nay","relative"
"chuẩn bị thi final Mạng máy tính rôi lo quá 👍","Thi final Mạng máy tính rôi lo quá 👍","ThiCuoiKy","4","1","high","","submission"
"đợt này test nhỏ c++ đm 📚","Test","KiemTraThuongXuyen","4","1","medium","hôm nay","relative"
"ê mấy đứa bài kiểm tra thường xuyên hóa tuần sau đúng k, khó k mn","Kiểm tra thường xuyên hóa tuần sau đúng k, khó k ","KiemTraThuongXuyen","3","1","high","tuần sau","relative"
"mai kt 1 tiết Kỹ năng mềm sợ toang vkl","Nhắc nhở","NhacNho","5","1","high","mai","relative"
"project môn Triết đang trễ tiến độ zz","Làm project","BaiTap","4","1","low","","submission"
"anh mai thi hóa x100 💀","Thi","ThiCuoiKy","5","1","medium","tháng sau","relative"
"hôm nay ôn tập Cơ sở dữ liệu nhé mọi người vkl","Ôn tập","OnTap","3","1","high","hôm nay","relative"
"nay tao di thi mak mang sai but chì 2b đcm đen","Thi mak mang sai but chì 2b đcm đen","ThiCuoiKy","3","1","high","nay","relative"
"Trời ơi sao hôm nay nóng kinh khủng vậy, học không vô gì hết.","Nhắc nhở","NhacNho","3","1","high","hôm nay","relative"
"em 15p tin học tuan sau kk ✨","Kiểm tra 15 phút","KiemTraThuongXuyen","3","1","medium","tuần sau","relative"
"mai test anh văn lụi 📝","Test","KiemTraThuongXuyen","4","1","medium","tuần sau","relative"
"cuối tuần phải review lại Toan cho kỹ","Review bài","OnTap","2","1","medium","cuối tuần","relative"
"dm thằng A ko làm group work tao kich nó nha","Bài tập","BaiTap","3","1","low","","submission"
"Tuần này có bài kiểm tra môn Pháp luật đại cương, mình đang ôn lại nội dung chính.","Kiểm tra môn Pháp luật đại cương, mình đang ôn lạ","KiemTraThuongXuyen","3","1","high","","submission"
"tao th 3 ktra 15p sử kk 🤯","Kiểm tra 15 phút","KiemTraThuongXuyen","3","1","medium","chiều nay","relative"
"project môn Cơ sở dữ liệu đang trễ tiến độ zz","Làm project","BaiTap","4","1","low","","submission"
"tao quên đem mẹ vở ôn rồi làm s học m cho t ngó xíu nha","Ôn tập","OnTap","3","0","low","","none"
"final exam mạng máy tính căng 📝","Thi cuối kỳ","ThiCuoiKy","5","1","medium","cuối tuần","relative"
"anh 15p tin học tuần sau :)) 📝","Kiểm tra 15 phút","KiemTraThuongXuyen","4","1","high","hôm nay","relative"
"đừng quên nộp lệ phí học Lập trình ae ơi","Nhắc nhở","NhacNho","1","0","low","","none"
"thứ 3 ktra 15p sử á ae","Kiểm tra 15p sử á ae","KiemTraThuongXuyen","3","1","high","thứ 3","weekday"
"Bài tập lớn môn Giải tích khá nặng, mình đang chia nhỏ công việc để làm dần.","Bài tập","BaiTap","3","1","low","","submission"
"assignment chua lo xong ma con bao đi nhậu","Bài tập","BaiTap","3","1","low","","submission"
"Mọi người có biết quán trà sữa nào gần trường ngon không?","Nhắc nhở","NhacNho","3","0","low","","none"
"thang nao an cap xe dap nha t ma k tra the dcm","Nhắc nhở","NhacNho","3","0","low","","none"
"project mon Toan aang trễ tiến aộ","Làm project","BaiTap","4","1","low","","submission"
"chị ơi e nộp bài muộn đc k?","Nhắc nhở","NhacNho","3","0","low","","none"
"nhớ mang theo laptop thực hành Lập trình nha vkl","Nhắc nhở","NhacNho","2","0","low","","none"
"Tuần này có bài kiểm tra môn Kinh tế vĩ mô, mình đang ôn lại nội dung chính.","Kiểm tra môn Kinh tế vĩ mô, mình đang ôn lại nội ","KiemTraThuongXuyen","3","1","high","","submission"
"cú t vs đng ôn bài khu trọ ngta hts kake um sùm đ nhét zo não nổi","Ôn tập","OnTap","3","0","low","","none"
"em học bù phần mạng máy tính căng ✨","Ôn tập","OnTap","3","0","low","","none"
"ngồi cày lại Lập trình mệt vl 😭 🔥","Nhắc nhở","NhacNho","5","0","low","","none"
"Em chưa làm bài homework, ai gửi file cho em với, deadline là tối nay 23h59, em cảm ơn","Bài tập","BaiTap","3","1","high","tối nay","relative"
"thay bao la ko dc xai tai lieu nha","Nhắc nhở","NhacNho","3","0","low","","none"
"Bài tập về nhà môn Lý thuyết xác suất cần hoàn thành sớm để kịp hạn nộp.","Bài tập","BaiTap","3","1","high","","submission"
"bọn mình bài test ngắn hnay","Test","KiemTraThuongXuyen","2","1","medium","thứ 3","weekday"
"Bai project lớn này khó quá, ai giúp mình với, nộp vào thứ 6 tuần sau","Làm project","BaiTap","4","1","high","thứ 6","weekday"
"E chưa làm bài homwork, ai gửi file cho e với, deadline là tối nay 23h59","Ôn tập","OnTap","3","1","high","tối nay","relative"
"Đồ án môn Trí tuệ nhân tạo nhóm mình chọn đề tài nhận diện khuôn mặt, hạn cuối tuần 15.","Làm project","BaiTap","4","1","medium","cuối tuần","relative"
"ai lom xong assignment Cd sở dữ liệu chưa cho t copy tẹo =))","Bài tập","BaiTap","3","1","low","","submission"
"nhớ mang giẻ lau bảng nha m","Nhắc nhở","NhacNho","3","0","low","","none"
"em ôn chương 3 giải tích","Ôn tập","OnTap","3","0","low","","none"
"hôm nay ôn tập Mạng máy tính nhé mọi người","Ôn tập","OnTap","3","1","high","hôm nay","relative"
"chú ý lịch học bù Kỹ năng mềm tuần sau hz","Ôn tập","OnTap","2","1","medium","tuần sau","relative"
"deadline ôn thi cuối kỳ Lý đang tới gần 🔥","Thi cuối kỳ Lý đang tới gần 🔥","ThiCuoiKy","4","1","high","","submission"
"tối nay team mình meeting chốt idea nhé","Nhắc nhở","NhacNho","3","1","high","tối nay","relative"
"ôn Lý sương sương thôi hz","Ôn tập","OnTap","2","0","low","","none"
"m final exam mạng máy tính","Thi cuối kỳ","ThiCuoiKy","4","1","high","tháng sau","relative"
"thi giữa kỳ triết kk 🙃","Thi","ThiCuoiKy","5","1","high","thứ 2","weekday"
"m exam hóa","Thi","ThiCuoiKy","3","1","high","thứ 2","weekday"
"nhớ mang theo laptop thực hành Mạng máy tính nha 🔥","Nhắc nhở","NhacNho","2","0","low","","none"
"pop quiz môn sinh chiều nay haha 📝","Quiz","KiemTraThuongXuyen","3","1","medium","hôm nay","relative"
"có đứa nào note bài đầy đủ ko cho tớ xin vs","Nhắc nhở","NhacNho","3","0","low","","none"
"Thi cuối kỳ môn Nhập môn AI ngày 22, ôn phần thuật toán tìm kiếm và học máy cơ bản.","Thi cuối kỳ môn Nhập môn AI ngày 22, ôn phần","ThiCuoiKy","4","1","high","","submission"
"sổ điểm danh dâu đưa t kí nốt nay có quiz đấy","Kiểm tra","KiemTraThuongXuyen","3","1","high","nay","relative"
"đang bận vcl tụi m đi nhậu ko gọi 😡","Nhắc nhở","NhacNho","3","0","low","","none"
"kịch bản video pj môn xã hội mk ntn mn có ý kiến j hum","Nhắc nhở","NhacNho","3","0","low","","none"
"quiz anh văn","Quiz","KiemTraThuongXuyen","3","1","high","mai","relative"
"Môn Cơ sở dữ liệu thi cuối kỳ khá khó, cần ôn theo từng chương.","Thi cuối kỳ khá khó, cần ôn theo từng chương","ThiCuoiKy","5","1","high","","submission"
"review bài hôm qua","Ôn tập","OnTap","1","1","medium","tuần sau","relative"
"mai kt 1 tiết Kỹ năng mềm sợ toang","Nhắc nhở","NhacNho","5","1","high","mai","relative"
"deadline ôn thi cuối kỳ Triết đang tới gần 😭","Thi cuối kỳ Triết đang tới gần 😭","ThiCuoiKy","4","1","high","","submission"
"cuối tuần phải review lại Kỹ năng mềm cho kỹ","Review bài","OnTap","2","1","medium","cuối tuần","relative"
"Thi cuối kỳ môn Giải phẫu học đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ môn Giải phẫu học đang đến gần, ","ThiCuoiKy","3","1","high","hôm nay","relative"
"nay phai doc xong chuong 4 mai con hoc tiep chuong 5","Nhắc nhở","NhacNho","3","1","high","nay","relative"
"bài tập Kỹ năng mềm về nhà tuần này dài ngoằng hz","Bài tập","BaiTap","4","1","low","","submission"
"mới bị ny cắm sừng đ học hành mẹ j nx đi nhậu dzooo","Nhắc nhở","NhacNho","3","0","low","","none"
"Mình cần nộp báo cáo môn Vi xử lý trước hạn, hiện đang hoàn thiện số liệu.","Nhắc nhở","NhacNho","3","0","low","","none"
"Mình cần chuẩn bị cho bài kiểm tra Tiếng Anh, độ khó khá cao.","Kiểm tra Tiếng Anh, độ khó khá cao","KiemTraThuongXuyen","3","1","high","","submission"
"Thứ 6 tuần sau kiểm tra 1 tiết Toán nha, khá dễ.","Kiểm tra 1 tiết Toán nha, khá dễ","KiemTraThuongXuyen","3","1","high","thứ 6","weekday"
"ai giúp bài project với 😐","Làm project","BaiTap","4","1","low","","submission"
"Mình cần chuẩn bị cho bài kiểm tra An toàn thông tin, độ khó khá cao.","Kiểm tra An toàn thông tin, độ khó khá cao","KiemTraThuongXuyen","3","1","high","","submission"
"m kiểm tra nhanh cuối buổi vl 😵‍💫","Kiểm tra","KiemTraThuongXuyen","3","1","medium","tuần sau","relative"
"Thầy cô nhắc nộp bài tập nhóm Phân tích thiết kế hệ thống, mình đang tổng hợp nội dung.","Bài tập","BaiTap","3","1","high","","submission"
"project mon Lu aang trễ tiến aộ","Làm project","BaiTap","4","1","low","","submission"
"đóng máy đ ngủ mai làm đồ án tiếp đuối qá r","Làm project","BaiTap","4","1","high","mai","relative"
"chưa bao h t thấy bài test trên lớp nhàn ntn haha","Kiểm tra","KiemTraThuongXuyen","3","1","low","","submission"
"ai làm xong assignment Triết chưa cho t copy tẹo =)) ak","Bài tập","BaiTap","3","1","low","","submission"
"Tuần này có bài kiểm tra môn Lý, mình đang ôn lại nội dung chính.","Kiểm tra môn Lý, mình đang ôn lại nội dung chính","KiemTraThuongXuyen","3","1","high","","submission"
"thi off t sợ vãi t thèm thi onl","Thi onl","ThiCuoiKy","3","1","high","","submission"
"Mình phải nộp bài tập lớn Luật kinh tế trong tuần này, ai rảnh review giúp mình không?","Bài tập","BaiTap","3","1","high","","submission"
"chuẩn bị thi final Hóa rôi lo quá","Thi final Hóa rôi lo quá","ThiCuoiKy","5","1","high","","submission"
"pop quiz Lu dễ yn aiểm lắm","Kiểm tra","KiemTraThuongXuyen","3","1","low","","submission"
"bài tập Lý về nhà tuần này dài ngoằng 😭","Bài tập","BaiTap","4","1","low","","submission"
"Mình phải nộp bài tập lớn Kinh tế lượng trong tuần này, ai rảnh review giúp mình không?","Bài tập","BaiTap","3","1","high","","submission"
"report Triết làm thuyết trình ez","Làm report","BaiTap","3","1","low","","submission"
"báo cáo Cơ sở dữ liệu làm thuyết trình ez 😭","Ôn tập","OnTap","2","0","low","","none"
"hôm nay ôn tập Hóa nhé mọi người 🔥","Ôn tập","OnTap","3","1","high","hôm nay","relative"
"Thi cuối kỳ môn Cơ sở dữ liệu đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ môn Cơ sở dữ liệu đang đến gần, ","ThiCuoiKy","3","1","high","hôm nay","relative"
"team mình mai test anh văn","Test","KiemTraThuongXuyen","2","1","high","tuần sau","relative"
"Mình cần chuẩn bị cho bài kiểm tra Toán cao cấp, độ khó khá cao.","Kiểm tra Toán cao cấp, độ khó khá cao","KiemTraThuongXuyen","3","1","high","","submission"
